MES,REGIAO_PAIS,POPULACAO,CID_TIPO,SEXO,BENEF_TIPO,STATUS_BENEFICIARIO,QTD_BENEFICIOS,TAXA_BENEFICIOS
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Autônomo,123,0.13879846770554047
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Desempregado,88,0.09930296876493952
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Doméstico,49,0.05529369851684133
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Empregado,1453,1.6396274274483764
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Facultativo,8,0.009027542614994501
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Segurado Especial,8,0.009027542614994501
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,2,0.0022568856537486253
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Autônomo,20,0.022568856537486255
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Desempregado,38,0.042880827421223885
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Doméstico,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Empregado,2,0.0022568856537486253
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Facultativo,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Segurado Especial,3,0.003385328480622938
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Masculino,Auxílio Doenca Previdenciário,Autônomo,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,"Gravidez, parto e puerpério",Masculino,Auxílio Doenca Previdenciário,Empregado,2,0.0022568856537486253
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Amp. Social Pessoa Portadora Deficiencia,Autônomo,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Amp. Social Pessoa Portadora Deficiencia,Desempregado,4,0.0045137713074972505
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Aposentadoria Invalidez Previdenciária,Autônomo,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Aposentadoria Invalidez Previdenciária,Desempregado,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Autônomo,1402,1.5820768432777865
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Desempregado,715,0.8068366212151338
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Doméstico,341,0.3847990039641407
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Empregado,2614,2.9497495494494537
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Facultativo,266,0.3001657919485672
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Segurado Especial,116,0.1308993679174203
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Amp. Social Pessoa Portadora Deficiencia,Desempregado,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Amp. Social Pessoa Portadora Deficiencia,Doméstico,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Aposentadoria Invalidez Previdenciária,Autônomo,2,0.0022568856537486253
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Autônomo,662,0.7470291513907951
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Desempregado,408,0.46040467336471963
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Doméstico,16,0.018055085229989002
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Empregado,1104,1.2458008808692413
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Facultativo,45,0.05077992720934408
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Segurado Especial,66,0.07447722657370465
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,2,0.0022568856537486253
2024-07-01,Sudeste,88617693,Neoplasias (tumores),Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Outros,Feminino,Amp. Social Pessoa Portadora Deficiencia,Facultativo,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca Previdenciário,Autônomo,2670,3.0129423477544153
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca Previdenciário,Desempregado,985,1.111516184471198
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca Previdenciário,Doméstico,578,0.6522399539333529
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca Previdenciário,Empregado,6696,7.556053168750399
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca Previdenciário,Facultativo,433,0.4886157440365775
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,264,0.2979089062948186
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,7,0.00789909978812019
2024-07-01,Sudeste,88617693,Outros,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,51,0.057550584170589954
2024-07-01,Sudeste,88617693,Outros,Masculino,Amp. Social Pessoa Portadora Deficiencia,Desempregado,2,0.0022568856537486253
2024-07-01,Sudeste,88617693,Outros,Masculino,Aposentadoria Invalidez Previdenciária,Autônomo,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Outros,Masculino,Aposentadoria Invalidez Previdenciária,Empregado,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca Previdenciário,Autônomo,2199,2.4814457762966136
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca Previdenciário,Desempregado,1079,1.2175898101973834
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca Previdenciário,Doméstico,46,0.051908370036218385
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca Previdenciário,Empregado,6150,6.939923385277024
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca Previdenciário,Facultativo,141,0.1591104385892781
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,268,0.30242267760231584
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,15,0.016926642403114693
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,143,0.16136732424302674
2024-07-01,Sudeste,88617693,Outros,Masculino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Amp. Social Pessoa Portadora Deficiencia,Facultativo,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Autônomo,1681,1.8969123919757198
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Desempregado,2456,2.7714555828033123
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Doméstico,246,0.27759693541108094
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Empregado,7346,8.289541006218702
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Facultativo,328,0.37012924721477464
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,76,0.08576165484244777
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,29,0.032724841979355074
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,167,0.18844995208801021
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Autônomo,881,0.9941581304762697
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Desempregado,1791,2.0210411029318944
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Doméstico,19,0.021440413710611943
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Empregado,3959,4.467505151595404
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Facultativo,127,0.14331223901303772
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,63,0.07109189809308171
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,25,0.028211070671857817
2024-07-01,Sudeste,88617693,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,87,0.09817452593806522
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Autônomo,1679,1.8946555063219712
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Desempregado,969,1.093461099241209
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Doméstico,525,0.5924324841090142
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Empregado,5529,6.239160389788075
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Facultativo,296,0.3340190767547966
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,131,0.14782601032053497
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,70,0.0789909978812019
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca por Acidente do Trabalho,Doméstico,35,0.03949549894060095
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,1188,1.3405900783266835
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Feminino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,1,0.0011284428268743126
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Autônomo,3066,3.4598057071966433
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Desempregado,2736,3.08741957432812
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Doméstico,79,0.08914698332307071
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Empregado,11968,13.505203752031775
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Facultativo,129,0.14556912466678634
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,461,0.5202121431890583
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Autônomo,6,0.006770656961245876
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,160,0.18055085229989004
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Doméstico,4,0.0045137713074972505
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,3228,3.6426134451502814
2024-07-01,Sudeste,88617693,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,11,0.01241287109561744
2024-07-01,Sul,31113021,Circulatório,Feminino,Auxílio Doenca Previdenciário,Autônomo,338,1.0863618804487034
2024-07-01,Sul,31113021,Circulatório,Feminino,Auxílio Doenca Previdenciário,Desempregado,186,0.5978204430871563
2024-07-01,Sul,31113021,Circulatório,Feminino,Auxílio Doenca Previdenciário,Doméstico,71,0.2282002766623016
2024-07-01,Sul,31113021,Circulatório,Feminino,Auxílio Doenca Previdenciário,Empregado,602,1.934881219024022
2024-07-01,Sul,31113021,Circulatório,Feminino,Auxílio Doenca Previdenciário,Facultativo,90,0.289267956332495
2024-07-01,Sul,31113021,Circulatório,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,93,0.29891022154357816
2024-07-01,Sul,31113021,Circulatório,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,4,0.012856353614777556
2024-07-01,Sul,31113021,Circulatório,Masculino,Amp. Social Pessoa Portadora Deficiencia,Facultativo,1,0.003214088403694389
2024-07-01,Sul,31113021,Circulatório,Masculino,Aposentadoria Invalidez Previdenciária,Desempregado,1,0.003214088403694389
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca Previdenciário,Autônomo,434,1.3949143672033648
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca Previdenciário,Desempregado,298,0.9577983443009279
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca Previdenciário,Doméstico,5,0.016070442018471947
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca Previdenciário,Empregado,718,2.3077154738525714
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca Previdenciário,Facultativo,46,0.1478480665699419
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,121,0.38890469684702106
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,6,0.019284530422166334
2024-07-01,Sul,31113021,Circulatório,Masculino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,1,0.003214088403694389
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Autônomo,294,0.9449419906861504
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Desempregado,220,0.7070994488127655
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Doméstico,47,0.15106215497363626
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Empregado,556,1.7870331524540801
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Facultativo,85,0.27319751431402306
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,103,0.3310511055805221
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,7,0.02249861882586072
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,25,0.08035221009235972
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Feminino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,1,0.003214088403694389
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Autônomo,113,0.36319198961746596
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Desempregado,127,0.4081892272691874
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Doméstico,1,0.003214088403694389
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Empregado,180,0.57853591266499
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Facultativo,7,0.02249861882586072
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,38,0.12213535934038679
2024-07-01,Sul,31113021,Doenças do sistema nervoso,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,6,0.019284530422166334
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Autônomo,88,0.28283977952510625
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Desempregado,46,0.1478480665699419
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Doméstico,10,0.032140884036943894
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Empregado,181,0.5817500010686845
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Facultativo,15,0.04821132605541583
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,1,0.003214088403694389
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Segurado Especial,9,0.0289267956332495
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Autônomo,53,0.1703466853958026
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Desempregado,44,0.14141988976255312
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Empregado,77,0.24748480708446796
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Facultativo,7,0.02249861882586072
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Segurado Especial,18,0.057853591266499
2024-07-01,Sul,31113021,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.003214088403694389
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Autônomo,21,0.06749585647758216
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Desempregado,25,0.08035221009235972
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Doméstico,9,0.0289267956332495
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Empregado,93,0.29891022154357816
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Facultativo,9,0.0289267956332495
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,7,0.02249861882586072
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,3,0.009642265211083167
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Autônomo,53,0.1703466853958026
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Desempregado,60,0.19284530422166332
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Empregado,150,0.4821132605541583
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Facultativo,6,0.019284530422166334
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,14,0.04499723765172144
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,1,0.003214088403694389
2024-07-01,Sul,31113021,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,2,0.006428176807388778
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Autônomo,2315,7.440614654552511
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Desempregado,1351,4.34223343339112
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Doméstico,328,1.0542209964117595
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Empregado,2791,8.97052073471104
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Facultativo,724,2.327000004274738
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,2,0.006428176807388778
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,641,2.060230666768103
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,33,0.10606491732191484
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,108,0.347121547598994
2024-07-01,Sul,31113021,Doenças osteomusculares,Feminino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,13,0.041783149248027056
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Autônomo,1536,4.936839788074582
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Desempregado,1164,3.7411989019002685
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Doméstico,18,0.057853591266499
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Empregado,2529,8.12842957294311
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Facultativo,126,0.404975138865493
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,3,0.009642265211083167
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,747,2.4009240375597085
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca por Acidente do Trabalho,Autônomo,3,0.009642265211083167
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,65,0.20891574624013529
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,143,0.4596146417282976
2024-07-01,Sul,31113021,Doenças osteomusculares,Masculino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,15,0.04821132605541583
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Autônomo,73,0.23462845346969038
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Desempregado,63,0.2024875694327465
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Doméstico,11,0.03535497244063828
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Empregado,793,2.5487721041296503
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Facultativo,4,0.012856353614777556
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Segurado Especial,14,0.04499723765172144
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.003214088403694389
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Autônomo,19,0.061067679670193394
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Desempregado,18,0.057853591266499
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Doméstico,2,0.006428176807388778
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Facultativo,1,0.003214088403694389
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Segurado Especial,1,0.003214088403694389
2024-07-01,Sul,31113021,"Gravidez, parto e puerpério",Masculino,Auxílio Doenca Previdenciário,Desempregado,1,0.003214088403694389
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Amp. Social Pessoa Portadora Deficiencia,Autônomo,3,0.009642265211083167
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Autônomo,556,1.7870331524540801
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Desempregado,326,1.0477928196043707
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Doméstico,96,0.30855248675466135
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Empregado,1100,3.5354972440638277
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Facultativo,137,0.44033011130613126
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Segurado Especial,160,0.5142541445911023
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.003214088403694389
2024-07-01,Sul,31113021,Neoplasias (tumores),Feminino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,1,0.003214088403694389
2024-07-01,Sul,31113021,Neoplasias (tumores),Masculino,Amp. Social Pessoa Portadora Deficiencia,Desempregado,3,0.009642265211083167
2024-07-01,Sul,31113021,Neoplasias (tumores),Masculino,Aposentadoria Invalidez Previdenciária,Desempregado,1,0.003214088403694389
2024-07-01,Sul,31113021,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Autônomo,296,0.9513701674935391
2024-07-01,Sul,31113021,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Desempregado,189,0.6074627082982395
2024-07-01,Sul,31113021,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Doméstico,1,0.003214088403694389
